,package,version,update_date,depends,makedepends,checkdepends,opt_depends
5946,poppler,0.64.0,2018-04-28T14:40:26.716Z,cairo curl fontconfig gcc-libs lcms2 libjpeg nss openjpeg2,cairo cmake curl fontconfig gcc-libs git gobject-introspection gtk3 gtk-doc icu lcms2 libjpeg nss openjpeg2 pkgconfig poppler-data python qt5-base,,poppler-data: encoding data to display PDF documents containing CJK characters
5947,poppler-data,0.4.9,2018-04-28T15:14:40.573Z,,,,
5948,poppler-glib,0.64.0,2018-04-28T14:40:23.861Z,glib2 poppler=0.64.0,cairo cmake curl fontconfig gcc-libs git gobject-introspection gtk3 gtk-doc icu lcms2 libjpeg nss openjpeg2 pkgconfig poppler-data python qt5-base,,
5949,poppler-qt5,0.64.0,2018-04-28T14:40:20.749Z,poppler=0.64.0 qt5-base,cairo cmake curl fontconfig gcc-libs git gobject-introspection gtk3 gtk-doc icu lcms2 libjpeg nss openjpeg2 pkgconfig poppler-data python qt5-base,,
5950,poppler-sharp,0.0.3,2018-01-13T11:25:54.652Z,gtk-sharp-2 poppler-glib,,,
5951,popt,1.16,2017-07-13T21:16:59.497Z,glibc,,,
5952,pork,0.99.8.1,2018-02-12T06:10:48.294Z,ncurses perl,,,
5953,portaudio,190600_20161030,2016-11-14T15:23:27.146Z,gcc-libs jack,,,
5954,portmidi,217,2013-10-26T17:24:40.675Z,alsa-lib,cmake java-environment,,java-runtime: for using pmdefaults
5955,portsmf,228,2015-12-10T05:48:35.373Z,gcc-libs,subversion,,
5956,postfix,3.3.0,2018-04-24T08:07:50.131Z,db icu libldap libmariadbclient libnsl libsasl openssl pcre postgresql-libs sqlite tinycdb,,,
5957,postfixadmin,3.1,2017-06-26T21:18:32.409Z,php,,,mariadb: MySQL server postgresql: PostgreSQL server
5958,postfwd,1.35,2018-01-11T19:24:30.656Z,perl perl-io-multiplex perl-net-dns perl-net-server,,,
5959,postgis,2.4.3,2018-01-16T21:41:53.068Z,gdal json-c postgresql proj protobuf-c,,,
5960,postgresql,10.3,2018-03-06T20:10:14.559Z,krb5 libxml2 openssl>=1.0.0 pam postgresql-libs>=10.3 readline>=6.0,krb5 libxml2 openssl>=1.0.0 pam perl python2 tcl>=8.6.0 zlib,,perl: for PL/Perl support postgresql-old-upgrade: upgrade from previous major version using pg_upgrade python2: for PL/Python support tcl: for PL/Tcl support
5961,postgresql-docs,10.3,2018-03-06T20:10:14.751Z,,krb5 libxml2 openssl>=1.0.0 pam perl python2 tcl>=8.6.0 zlib,,
5962,postgresql-libs,10.3,2018-03-06T20:10:14.879Z,krb5 openssl>=1.0.0 readline>=6.0 zlib,krb5 libxml2 openssl>=1.0.0 pam perl python2 tcl>=8.6.0 zlib,,
5963,postgresql-old-upgrade,9.6.8,2018-03-06T20:10:14.687Z,libxml2 openssl>=1.0.0 pam postgresql-libs>=9.6 zlib,krb5 perl python2 tcl>=8.6.0,,
5964,postgrest,0.4.4.0,2018-04-26T03:04:44.378Z,ghc-libs haskell-aeson haskell-ansi-wl-pprint haskell-base64-bytestring haskell-case-insensitive haskell-cassava haskell-configurator-ng haskell-contravariant haskell-cookie haskell-either haskell-gitrev haskell-hasql haskell-hasql-pool haskell-hasql-transaction haskell-heredoc haskell-http haskell-http-types haskell-insert-ordered-containers haskell-interpolatedstring-perl6 haskell-jose haskell-lens haskell-lens-aeson haskell-network-uri haskell-optparse-applicative haskell-parsec haskell-protolude haskell-ranged-sets haskell-regex-tdfa haskell-retry haskell-safe haskell-scientific haskell-swagger2 haskell-text haskell-unordered-containers haskell-vector haskell-wai haskell-wai-cors haskell-wai-extra haskell-wai-middleware-static haskell-warp,ghc haskell-aeson-qq haskell-async haskell-hjsonschema haskell-hspec haskell-hspec-wai haskell-hspec-wai-json,pifpaf postgresql procps-ng,
5965,postgrey,1.37,2018-01-09T03:44:35.272Z,db>=4.1 perl>=5.6.0 perl-berkeleydb perl-io-multiplex perl-netaddr-ip perl-net-server,,,exim: an alternative MTA perl-net-dns: for postgreyreport tool postfix: the recommended MTA for use with postgrey
5966,potrace,1.15,2018-01-12T17:21:47.033Z,,,,
5967,pound,2.7,2018-03-21T12:59:42.651Z,gperftools openssl-1.0 pcre,,,
5968,povray,3.7.0.7,2018-03-10T09:34:20.034Z,boost-libs libpng libtiff openexr,boost git glu,,
5969,powerdevil,5.12.5,2018-05-01T17:09:01.164Z,bluez-qt libkscreen networkmanager-qt plasma-workspace,extra-cmake-modules kdesignerplugin kdoctools,,
5970,powerdns,4.1.1,2018-04-11T11:10:27.540Z,boost-libs botan libsodium lua luajit openssl protobuf sqlite systemd,boost geoip libldap libmariadbclient opendbx pkg-config postgresql-libs tinycdb unixodbc yaml-cpp,,geoip: GeoIP backend libldap: LDAP backend libmariadbclient: MariaDB/MySQL and MyDNS backend opendbx: OpenDBX backend postgresql-libs: PostgreSQL backend tinycdb: TinyDNS backend unixodbc: ODBC backend yaml-cpp: GeoIP backend
5971,powerdns-recursor,4.1.2,2018-04-07T14:46:31.310Z,boost-libs gcc-libs libboost_context.so=1.66.0-64 libsodium libsystemd lua openssl protobuf,boost inetutils pandoc ragel systemd systemd,,
5972,powerline,2.6,2017-05-10T12:23:09.569Z,python-powerline,python2-setuptools python-setuptools python-sphinx,,
5973,powerline2,2.6,2017-05-10T12:23:09.688Z,python2-powerline,python2-setuptools python-setuptools python-sphinx,,
5974,powerline-common,2.6,2017-05-10T12:23:09.596Z,,python2-setuptools python-setuptools python-sphinx,,
5975,powerline-fonts,2.6,2017-05-10T12:23:09.708Z,powerline-common,python2-setuptools python-setuptools python-sphinx,,
5976,powerline-vim,2.6,2017-05-10T12:23:09.545Z,powerline powerline-common vim-runtime,python2-setuptools python-setuptools python-sphinx,,
5977,powertop,2.9,2017-04-04T18:47:59.601Z,gcc-libs libnl ncurses pciutils,,,
5978,poxml,18.04.0,2018-04-21T13:54:47.703Z,gettext qt5-base,extra-cmake-modules kdoctools,,
5979,ppl,1.2,2017-07-17T18:01:42.050Z,glpk,swi-prolog,,swi-prolog: SWI Prolog interface
5980,ppp,2.4.7,2017-09-29T17:39:53.339Z,glibc libpcap>=1.0.0,,,
5981,pppusage,0.2.5,2017-09-02T11:57:30.544Z,cron perl ppp,,,
5982,ppsspp,1.5.4,2017-12-05T20:55:53.739Z,gcc-libs glew glibc hicolor-icon-theme libgl libzip sdl2 snappy zlib,cmake git glew libzip qt5-tools sdl2 snappy zlib,,
5983,ppsspp-headless,1.5.4,2017-12-05T20:55:53.688Z,gcc-libs glew glibc libgl sdl2 snappy zlib,cmake git glew libzip qt5-tools sdl2 snappy zlib,,
5984,ppsspp-qt,1.5.4,2017-12-05T20:55:53.787Z,gcc-libs glew glibc hicolor-icon-theme libgl libzip qt5-base sdl2 snappy zlib,cmake git glew libzip qt5-tools sdl2 snappy zlib,,
5985,pptpclient,1.10.0,2018-02-03T09:04:28.447Z,iproute2 perl ppp,,,
5986,pptpd,1.4.0,2016-11-15T11:11:53.895Z,glibc ppp,,,
5987,pragha,1.3.3,2018-04-04T06:55:35.733Z,dbus-glib desktop-file-utils glyr gst-plugins-base hicolor-icon-theme libcdio-paranoia libclastfm libgudev libnotify libpeas taglib,gobject-introspection intltool xfce4-dev-tools,,gst-plugins-bad: A collection of gstreamer codecs gst-plugins-good: A collection of gstreamer codecs gst-plugins-ugly: A collection of gstreamer codecs
5988,premake,4.3,2014-07-05T04:03:11.472Z,,,,
5989,premake3,3.7,2014-07-05T04:03:09.891Z,,,,
5990,prettier,1.11.1,2018-03-01T07:43:38.195Z,nodejs,npm,,
5991,primus,20151110,2017-03-11T07:56:30.251Z,bumblebee,git,,
5992,print-manager,18.04.0,2018-04-21T13:54:40.691Z,kcmutils,extra-cmake-modules kdoctools plasma-framework,,system-config-printer: auto-detect the printer driver
5993,prison,5.45.0,2018-04-16T07:35:47.619Z,libdmtx qrencode qt5-base,doxygen extra-cmake-modules qt5-declarative qt5-tools,,qt5-declarative: QML bindings
5994,privoxy,3.0.26,2017-01-13T14:43:33.330Z,pcre zlib,autoconf,,
5995,processing,3.3.7,2018-03-16T11:36:58.085Z,java-runtime=8 libgl,apache-ant gendesk java-environment=8 java-openjfx rsync,,
5996,processing-examples,3.3.3,2017-05-12T20:22:31.176Z,,git,,
5997,procinfo-ng,2.0.304,2015-12-10T04:39:20.044Z,ncurses perl,,,
5998,procmail,3.22,2017-11-28T16:25:34.114Z,glibc sh,smtp-server,,
5999,procps-ng,3.3.14,2018-04-20T09:14:44.711Z,libsystemd ncurses,systemd,,
6000,procstatd,1.4.2,2014-08-11T10:37:29.035Z,,,,
6001,profanity,0.5.1,2017-02-03T17:54:20.460Z,curl expat glib2 gpgme libmesode libnotify libotr ncurses python,curl expat glib2 gpgme gtk2 libmesode libnotify libotr ncurses python,cmocka,
6002,profanity-gtk,0.5.1,2017-02-03T17:54:20.355Z,curl expat glib2 gpgme gtk2 libmesode libnotify libotr ncurses python,curl expat glib2 gpgme gtk2 libmesode libnotify libotr ncurses python,cmocka,
6003,profont,1,2017-01-22T18:01:23.578Z,fontconfig xorg-fonts-alias xorg-fonts-encodings xorg-font-utils,,,
6004,progress,0.13.1,2016-10-13T14:43:42.391Z,ncurses,git,,
6005,progsreiserfs,0.3.0.5,2013-10-21T12:13:00.335Z,e2fsprogs,,,
6006,proj,4.9.3,2016-09-17T05:54:53.224Z,,autoconf,,
6007,projectm,2.1.0,2017-08-04T02:57:12.051Z,ftgl glew libgl,cmake ftgl glew gtkglext jack libvisual libxext mesa-libgl pulseaudio qt4 sdl,,
6008,projectm-jack,2.1.0,2017-08-04T02:57:06.159Z,jack projectm-qt,cmake ftgl glew gtkglext jack libvisual libxext mesa-libgl pulseaudio qt4 sdl,,
6009,projectm-libvisual,2.1.0,2017-08-04T02:57:07.523Z,gcc-libs libvisual projectm,cmake ftgl glew gtkglext jack libvisual libxext mesa-libgl pulseaudio qt4 sdl,,
6010,projectm-pulseaudio,2.1.0,2017-08-04T02:57:08.373Z,projectm-qt pulseaudio,cmake ftgl glew gtkglext jack libvisual libxext mesa-libgl pulseaudio qt4 sdl,,
6011,projectm-qt,2.1.0,2017-08-04T02:57:07.557Z,libgl projectm qt4,cmake ftgl glew gtkglext jack libvisual libxext mesa-libgl pulseaudio qt4 sdl,,
6012,projectm-test,2.1.0,2017-08-04T02:57:07.131Z,libgl projectm sdl,cmake ftgl glew gtkglext jack libvisual libxext mesa-libgl pulseaudio qt4 sdl,,
6013,prosody,0.10.0,2017-10-02T17:07:58.778Z,libidn lua51 lua51-expat lua51-filesystem lua51-socket openssl,,,lua51-bitop: websocket support lua51-dbi: SQL storage support lua51-event: libevent support lua51-sec: TLS encryption support
6014,protege,5.2.0,2018-02-25T13:12:35.076Z,graphviz java-runtime>=8,jdk8-openjdk maven,,
6015,protobuf,3.5.2,2018-03-25T11:58:19.693Z,gcc-libs zlib,clang python2-setuptools python-setuptools unzip,,
6016,protobuf-c,1.3.0,2018-01-01T15:35:58.099Z,protobuf,,,
6017,proxychains-ng,4.12,2016-12-24T16:56:58.673Z,glibc,git,,
6018,proxytunnel,1.9.0.253,2017-04-24T12:25:51.168Z,openssl,asciidoc subversion xmlto,,
6019,psensor,1.2.0,2018-05-03T19:30:24.696Z,curl dconf gtk3 json-c libgtop libmicrohttpd libnotify libxnvctrl lm_sensors udisks2,help2man,,
6020,psi,1.3,2018-04-23T09:22:13.819Z,hunspell qca-qt5 qt5-svg qt5-webengine qt5-x11extras,cmake qt5-multimedia,,
6021,psiconv,0.9.9,2018-04-23T23:04:39.201Z,graphicsmagick,bc,,
6022,psi-l10n,1.3,2018-02-26T13:11:03.049Z,psi,qt5-tools,,
6023,psi-nowebengine,1.3,2018-04-23T09:22:13.747Z,hunspell minizip qca-qt5 qt5-svg qt5-x11extras,cmake qt5-multimedia,,
6024,psi-plugins,1.3,2018-04-23T10:08:14.896Z,psi,libotr tidy,,libotr: OTR plugin tidy: OTR plugin
6025,ps_mem,3.9,2017-07-20T03:12:35.647Z,python,git,,
6026,psmisc,23.1,2017-07-05T21:32:56.126Z,ncurses,,,
6027,pstoedit,3.71,2018-04-25T21:24:30.688Z,gcc-libs gd libmagick plotutils,ghostscript,,
6028,pstotext,1.9,2018-01-12T13:32:12.447Z,ghostscript,,,
6029,pstreams,1.0.1,2018-02-19T19:40:01.086Z,,,,
6030,psutils,1.17,2014-07-03T08:05:24.740Z,ghostscript glibc,,,
6031,ptex,2.1.33,2018-03-28T23:23:53.364Z,zlib,cmake doxygen git python2,,
6032,pth,2.0.7,2014-01-13T14:21:14.802Z,awk glibc,,,
6033,ptlib,2.10.11,2017-07-12T20:04:02.193Z,libldap libpulse sdl v4l-utils,,,
6034,ptunnel,0.72,2015-05-31T10:49:12.957Z,libpcap,,,
6035,publicsuffix-list,20180420.677.81bcd19,2018-04-28T23:40:44.141Z,,git,,
6036,puddletag,1.2.0,2016-11-29T09:31:12.864Z,chromaprint mutagen python2-configobj python2-musicbrainz2 python2-pyparsing python2-pyqt4,,,python2-pillow: FLAC cover art quodlibet: QuodLibet library support
6037,pugixml,1.9,2018-04-09T17:48:56.852Z,gcc-libs,cmake,,
6038,pulseaudio,11.1,2017-09-19T07:47:13.146Z,libltdl libpulse=11.1-1 libsoxr orc rtkit speexdsp tdb webrtc-audio-processing,attr autoconf-archive avahi bluez bluez-libs check dbus fftw gconf git gtk3 intltool jack2-dbus libasyncns libcap libsm libsndfile libsoxr libtool libxtst lirc openssl orc rtkit sbc speexdsp systemd tdb webrtc-audio-processing,,pulseaudio-alsa: ALSA configuration (recommended)
6039,pulseaudio-alsa,2,2014-06-30T18:45:04.777Z,alsa-plugins>=1.0.25 pulseaudio,,,
6040,pulseaudio-bluetooth,11.1,2017-09-19T07:47:13.188Z,bluez bluez-libs pulseaudio=11.1-1 sbc,attr autoconf-archive avahi bluez bluez-libs check dbus fftw gconf git gtk3 intltool jack2-dbus libasyncns libcap libsm libsndfile libsoxr libtool libxtst lirc openssl orc rtkit sbc speexdsp systemd tdb webrtc-audio-processing,,
6041,pulseaudio-equalizer,11.1,2017-09-19T07:47:12.978Z,fftw pulseaudio=11.1-1 python-pyqt4,attr autoconf-archive avahi bluez bluez-libs check dbus fftw gconf git gtk3 intltool jack2-dbus libasyncns libcap libsm libsndfile libsoxr libtool libxtst lirc openssl orc rtkit sbc speexdsp systemd tdb webrtc-audio-processing,,
6042,pulseaudio-gconf,11.1,2017-09-19T07:47:13.213Z,gconf pulseaudio=11.1-1,attr autoconf-archive avahi bluez bluez-libs check dbus fftw gconf git gtk3 intltool jack2-dbus libasyncns libcap libsm libsndfile libsoxr libtool libxtst lirc openssl orc rtkit sbc speexdsp systemd tdb webrtc-audio-processing,,
6043,pulseaudio-jack,11.1,2017-09-19T07:47:13.020Z,jack pulseaudio=11.1-1,attr autoconf-archive avahi bluez bluez-libs check dbus fftw gconf git gtk3 intltool jack2-dbus libasyncns libcap libsm libsndfile libsoxr libtool libxtst lirc openssl orc rtkit sbc speexdsp systemd tdb webrtc-audio-processing,,
6044,pulseaudio-lirc,11.1,2017-09-19T07:47:13.079Z,lirc pulseaudio=11.1-1,attr autoconf-archive avahi bluez bluez-libs check dbus fftw gconf git gtk3 intltool jack2-dbus libasyncns libcap libsm libsndfile libsoxr libtool libxtst lirc openssl orc rtkit sbc speexdsp systemd tdb webrtc-audio-processing,,
6045,pulseaudio-zeroconf,11.1,2017-09-19T07:47:13.053Z,avahi openssl pulseaudio=11.1-1,attr autoconf-archive avahi bluez bluez-libs check dbus fftw gconf git gtk3 intltool jack2-dbus libasyncns libcap libsm libsndfile libsoxr libtool libxtst lirc openssl orc rtkit sbc speexdsp systemd tdb webrtc-audio-processing,,
6046,pulseview,0.4.0,2018-01-06T19:46:08.954Z,boost-libs libsigrok libsigrokdecode qt5-base qt5-svg,boost cmake,,
6047,puppet,5.5.0,2018-04-06T13:32:38.322Z,facter hiera,,,ruby-shadow: user password management
6048,purple-facebook,0.9.5,2017-09-16T00:34:30.050Z,json-glib libpurple,,,
6049,purple-plugin-pack,2.7.0,2018-01-25T20:56:40.885Z,libpurple,intltool pidgin python2,,
6050,purple-skypeweb,1.4,2017-09-11T19:24:06.034Z,json-glib libpurple,pkg-config,,
6051,purpose,5.45.0,2018-04-16T07:35:47.039Z,accounts-qml-module hicolor-icon-theme kaccounts-integration,extra-cmake-modules intltool python,,kdeconnect: sharing to smartphone via KDE Connect
6052,putty,0.70,2018-01-29T15:28:52.458Z,gtk3,,,
6053,puzzles,20171029,2017-11-12T13:50:41.147Z,desktop-file-utils gtk2,git imagemagick pkgconfig subversion xorg-server-xvfb,,
6054,pv,1.6.6,2017-07-05T16:47:19.517Z,glibc,,,
6055,pvoc,0.1.12,2017-12-24T16:12:39.020Z,fftw ladspa libsndfile,,,
6056,pwgen,2.08,2017-11-01T11:08:53.716Z,glibc,,,
6057,pwndbg,2017.09.26,2018-03-25T11:08:28.090Z,python-capstone python-future python-psutil python-ptrace python-pycparser python-pyelftools python-six python-unicorn,,,checksec: checksec command support radare2: radare2 command support ropper: ropper command support
6058,pyalpm,0.8.2,2017-11-06T09:15:14.078Z,pacman>=5.0 python>=3.6,git,,
6059,pycharm-community-edition,2018.1,2018-03-29T18:49:30.397Z,gcc-libs giflib glibc java-runtime=8 sh ttf-font,apache-ant java-environment=8 java-openjfx python2-setuptools python-setuptools,,ipython: IPython integration for Python 3 ipython2: IPython integration for Python 2 python: Python 3 support python2: Python 2 support
6060,pychecker,0.8.19,2014-08-29T15:46:25.050Z,python2,,,
6061,pychess,0.99.1,2018-04-09T13:02:16.933Z,gst-plugins-base gtksourceview3 python-cairo python-gobject python-psutil python-ptyprocess python-sqlalchemy,,,
6062,pycuda-headers,2017.1.1,2018-01-06T19:46:01.982Z,,boost ctags cuda mesa nvidia-utils python2-numpy python2-setuptools python-numpy python-setuptools,,
6063,pydb,1.26,2014-07-07T02:44:54.140Z,python2,,,
6064,pydf,12,2015-01-08T18:49:22.587Z,python,,,
6065,pyflame,1.6.3,2018-03-18T18:55:03.876Z,gcc-libs,python,python-virtualenv,
6066,pygmentize,2.2.0,2017-01-26T14:03:33.298Z,python-pygments,python2-setuptools python-setuptools,,
6067,pygobject2-devel,2.28.7,2017-12-10T16:50:31.667Z,glib2,git python python2,,
6068,pygobject-devel,3.28.2,2018-03-27T21:24:06.583Z,gobject-introspection-runtime,autoconf-archive git gobject-introspection python2-cairo python-cairo,,
6069,pygtk,2.24.0,2017-12-10T16:19:38.619Z,libglade python2-cairo python2-gobject2,pygobject2-devel python2-numpy,,python2-numpy
6070,pygtksourceview2,2.10.1,2014-07-01T09:25:58.879Z,gtksourceview2>=2.10.0 pygtk>=2.17.0,intltool pkg-config,,
6071,pylibacl,0.5.3,2016-02-08T01:10:58.147Z,python2,python2-distribute,,
6072,pymol,2.1.0,2018-04-06T06:12:03.382Z,freetype2 glew glut python-numpy tcsh,desktop-file-utils gendesk msgpack-c,,python-pmw: pmw based UI python-pyqt4: Qt4 based UI python-pyqt5: Qt5 based UI
6073,pympd,0.08.1,2016-05-01T10:55:14.586Z,libglade pygtk,pkg-config,,
6074,pynac,0.7.19,2018-04-09T21:37:45.789Z,libgiac python2 singular,,,
6075,pyneighborhood,0.5.4,2018-04-12T06:10:28.131Z,pygtk smbclient,,,polkit: mount/unmount Samba shares
6076,pyopencl-headers,2018.1.1,2018-05-01T09:55:36.239Z,,boost boost-libs ctags mesa opencl-headers opencl-icd-loader python2-mako python2-numpy python2-setuptools python-mako python-numpy python-setuptools,python2-appdirs python2-six python-appdirs python-six,
6077,pypanel,2.4,2016-02-08T01:11:01.165Z,imlib2 libxft python2 python2-xlib x-server,,,
6078,pyprof2calltree,1.4.3,2017-07-29T15:48:54.080Z,python-setuptools,python2-setuptools python-setuptools,,
6079,pypy,6.0.0,2018-04-26T08:54:26.163Z,bzip2 expat gdbm libffi ncurses openssl zlib,mercurial python2 python2-pycparser sqlite tk,,sqlite: sqlite module tk: tk module
6080,pypy3,6.0.0,2018-04-26T08:54:25.915Z,bzip2 expat gdbm libffi ncurses openssl zlib,python2 python2-pycparser sqlite tk,,sqlite: sqlite module tk: tk module
6081,pyqt4-common,4.12.1,2017-07-08T08:43:26.772Z,qt4,mesa phonon-qt4 python2-dbus python2-opengl python2-sip python-dbus python-sip qt-assistant-compat,,
6082,pyqt5-common,5.10.1,2018-04-04T22:19:21.028Z,qt5-base,python2-dbus python2-opengl python2-sip python-dbus python-opengl python-sip qt5-connectivity qt5-multimedia qt5-networkauth qt5-serialport qt5-svg qt5-tools qt5-webengine qt5-webkit qt5-websockets qt5-x11extras,,
6083,pyrex,0.9.9,2014-07-01T09:25:54.159Z,python2,,,
6084,pyrit,0.5.0,2018-03-25T11:08:28.300Z,libpcap openssl python2 zlib,,python2-sqlalchemy scapy,python2-sqlalchemy: storage support scapy: packet capture analyzation support
6085,pysolfc,2.0,2013-09-30T10:29:44.073Z,pysol-sound-server python2-pillow tk,,,
6086,pysolfc-cardsets,2.0,2014-07-05T06:49:13.426Z,pysolfc,,,
