,package,version,update_date,depends,makedepends,checkdepends,opt_depends
0,0ad,a22,2018-04-11T19:20:16.359Z,0ad-data binutils boost-libs curl enet gloox glu icu libgl libminiupnpc.so=17-64 libogg libpng libvorbis libxml2 miniupnpc nspr openal sdl2 wxgtk zlib,boost cmake libsm mesa python2 zip,,
1,0ad-data,a22,2017-07-26T23:08:52.433Z,,,,
2,4ti2,1.6.7,2017-03-24T11:48:29.174Z,glpk,,,
3,6tunnel,0.12,2016-10-31T11:37:07.250Z,,,,
4,9base,6,2013-09-30T20:23:32.225Z,sh,,,
5,a2jmidid,8,2017-12-24T15:58:03.984Z,jack python2-dbus,,,
6,a2ps,4.14,2016-05-05T21:35:36.970Z,imagemagick psutils,gperf,,
7,a52dec,0.7.4,2016-06-10T10:44:58.802Z,glibc,,,
8,aalib,1.4rc5,2016-05-05T22:37:46.114Z,gpm libx11,libxt,,
9,aarch64-linux-gnu-binutils,2.30,2018-01-29T17:33:19.219Z,zlib,,,
10,aarch64-linux-gnu-gcc,7.3.0,2018-01-27T00:04:58.497Z,aarch64-linux-gnu-binutils aarch64-linux-gnu-glibc libmpc zlib,gmp mpfr,,
11,aarch64-linux-gnu-gdb,8.1,2018-02-03T16:59:33.000Z,expat gdb-common guile2.0 mpfr ncurses python xz,,,
12,aarch64-linux-gnu-glibc,2.27,2018-02-02T13:39:44.837Z,aarch64-linux-gnu-gcc aarch64-linux-gnu-linux-api-headers,,,
13,aarch64-linux-gnu-linux-api-headers,4.16,2018-04-07T18:54:23.317Z,,,,
14,abcde,2.9.1,2018-04-03T16:12:06.889Z,bash cd-discid vorbis-tools wget,,,cdparanoia: Paranoia ripping support flac: FLAC encoding support glyr: album art support lame: MP3 encoding support python-eyed3: ID3 tag support vorbisgain: Ogg Vorbis normalization support
15,abduco,0.6,2017-08-01T06:53:27.957Z,,,,
16,abiword,3.0.2,2018-01-25T20:56:41.326Z,aiksaurus desktop-file-utils enchant fribidi goffice gtkmathview gtk-update-icon-cache libgsf libical libots librsvg libsoup libwmf libwpg libwps libxslt link-grammar loudmouth psiconv redland wv,asio boost gobject-introspection libwpd libwps pkgconfig python2-gobject python-gobject,,
17,abook,0.6.1,2016-11-14T07:47:45.643Z,readline,git,,
18,absl-py,0.2.0,2018-04-20T05:17:59.724Z,,python-setuptools,,
19,abuse,0.8,2017-02-14T09:27:10.580Z,desktop-file-utils gcc-libs glu libgl sdl_mixer,gendesk glu mesa-libgl,,
20,acbuild,0.4.0,2017-10-12T15:17:29.082Z,glibc,go-pie,,gnupg: to sign container images
21,accerciser,3.22.0,2017-01-06T08:19:36.316Z,gtk3 ipython libwnck3 python python-atspi python-cairo,docbook-xsl git gnome-common intltool itstool,,
22,accounts-qml-module,0.7,2016-06-14T10:34:19.922Z,libaccounts-qt qt5-declarative signond,qt5-tools,,
23,accountsservice,0.6.47,2018-04-25T04:56:04.062Z,glib2 polkit systemd,git gobject-introspection gtk-doc intltool,,
24,accuraterip-checksum,1.4,2017-08-02T20:15:42.760Z,libsndfile,,,
25,acetoneiso2,2.3,2018-04-27T11:37:02.316Z,cdrdao cdrtools dvd+rw-tools fuseiso gnupg mplayer phonon-qt5 pinentry qt5-webkit,,,p7zip: for ISO compress/decompress support
26,ack,2.22,2018-01-07T17:10:50.160Z,perl-file-next,,,
27,acl,2.2.52,2017-08-08T08:18:36.286Z,attr>=2.4.46,,,
28,acme-tiny,4.0.3,2018-03-22T11:48:10.999Z,openssl python,,,
29,acorn,5.5.3,2018-03-09T10:08:45.954Z,nodejs,npm,,
30,acpi,1.7,2017-08-15T17:43:43.041Z,glibc,,,
31,acpi_call,1.1.0,2018-05-02T21:02:10.013Z,linux>=4.16 linux<4.17,linux-headers>=4.16 linux-headers<4.17,,
32,acpi_call-dkms,1.1.0,2018-05-02T21:02:09.882Z,dkms,linux-headers>=4.16 linux-headers<4.17,,
33,acpi_call-lts,1.1.0,2018-04-25T14:09:03.422Z,linux-lts>=4.14.36,linux-lts-headers>=4.14.36,,
34,acpid,2.0.29,2018-04-22T21:49:21.640Z,bash,,,perl: use perl based examples
35,activity-log-manager,0.9.7,2018-01-15T20:47:39.684Z,gtk3 libgee zeitgeist,intltool vala,,
36,adapta-gtk-theme,3.93.1.7,2018-05-03T07:35:10.264Z,,git gnome-shell inkscape libxml2 parallel sassc,,gtk-engine-murrine: for gtk2 themes noto-fonts: Recommended font ttf-roboto: Recommended font
37,adapta-kde,20180401,2018-04-02T08:31:18.238Z,,,,adapta-gtk-theme: Matching GTK theme kvantum-theme-adapta: Adapta theme for Kvantum Qt style (recommended)
38,addinclude,1.0,2017-11-16T22:19:26.859Z,,gcc-go,,
39,adns,1.5.1,2016-08-15T11:33:08.686Z,glibc,,,
40,adobe-source-code-pro-fonts,2.030ro+1.050it,2017-10-18T22:03:04.922Z,,,,
41,adobe-source-han-sans-cn-fonts,1.004,2017-04-23T17:43:50.770Z,fontconfig,,,
42,adobe-source-han-sans-jp-fonts,1.004,2017-04-23T17:43:50.845Z,fontconfig,,,
43,adobe-source-han-sans-kr-fonts,1.004,2017-04-23T17:43:50.747Z,fontconfig,,,
44,adobe-source-han-sans-otc-fonts,1.004,2017-04-23T17:43:50.786Z,fontconfig,,,
45,adobe-source-han-sans-tw-fonts,1.004,2017-04-23T17:43:50.871Z,fontconfig,,,
46,adobe-source-han-serif-cn-fonts,1.001,2017-05-18T06:17:55.109Z,fontconfig,,,
47,adobe-source-han-serif-jp-fonts,1.001,2017-05-18T06:17:55.162Z,fontconfig,,,
48,adobe-source-han-serif-kr-fonts,1.001,2017-05-18T06:17:55.189Z,fontconfig,,,
49,adobe-source-han-serif-otc-fonts,1.001,2017-05-18T06:17:55.138Z,fontconfig,,,
50,adobe-source-han-serif-tw-fonts,1.001,2017-05-18T06:17:55.077Z,fontconfig,,,
51,adobe-source-sans-pro-fonts,2.020ro+1.075it,2017-01-12T17:57:22.757Z,,,,
52,adobe-source-serif-pro-fonts,2.000,2017-01-22T13:42:19.302Z,,,,
53,adwaita-icon-theme,3.28.0,2018-03-24T22:50:31.524Z,gtk-update-icon-cache hicolor-icon-theme librsvg,git gnome-common gtk3 intltool,,
54,aegisub,3.2.2,2018-03-29T22:10:13.916Z,alsa-lib boost-libs fftw fontconfig gcc-libs glibc hunspell icu libass.so=9-64 libffms2.so=4-64 libgl libpulse wxgtk3 zlib,boost intltool mesa,,
55,aeolus,0.9.5,2017-12-24T16:04:52.205Z,clthreads clxclient jack zita-alsa-pcmi,,,
56,afl,2.52b,2017-11-05T22:40:57.380Z,bash glibc,clang gcc llvm python wget,,clang: clang instrumentation support gcc: gcc instrumentation support gnuplot: graph plotting support llvm: experimental clang-fast instrumentation support
57,afl-utils,1.33a,2017-08-03T15:43:27.225Z,afl coreutils python rsync,python-setuptools,,gdb: gdb script execution support screen: interactive/screen mode support sqlite: database support
58,afpfs-ng,0.8.1,2017-12-24T09:13:54.107Z,fuse gmp libgcrypt,,,
59,agave,0.4.7,2018-01-14T00:22:23.647Z,gconfmm libglademm,boost gnome-doc-utils intltool,,
60,agda,2.5.3,2018-04-12T07:12:00.673Z,alex ghc-libs happy haskell-async haskell-blaze-html haskell-boxes haskell-cpphs haskell-data-hash haskell-edisonapi haskell-edisoncore haskell-edit-distance haskell-equivalence haskell-geniplate-mirror haskell-gitrev haskell-hashable haskell-hashtables haskell-ieee754 haskell-monadplus haskell-mtl haskell-murmur-hash haskell-parallel haskell-regex-tdfa haskell-stm haskell-strict haskell-text haskell-unordered-containers haskell-uri-encode haskell-zlib,ghc,,agda-stdlib: for standard library
61,agda-stdlib,0.15,2018-03-18T19:04:48.044Z,agda,ghc haskell-filemanip,,
62,agg,2.5,2016-04-30T10:30:44.305Z,freetype2 gcc-libs sdl,,,
63,aide,0.16,2016-09-28T14:38:42.773Z,acl e2fsprogs elfutils mhash pcre,,,
64,aiksaurus,1.2.1,2015-12-10T05:52:44.865Z,gtk2,,,
65,aircrack-ng,1.2rc4,2017-04-24T12:25:53.040Z,ethtool iw net-tools openssl sqlite wireless_tools,,,
66,airspy,1.0.7,2015-12-27T21:49:28.631Z,libusb>=1.0,cmake,,
67,aisleriot,3.22.5,2018-03-24T22:50:38.121Z,dconf gconf gtk3 guile libcanberra librsvg,appdata-tools docbook-xsl git gnome-common intltool itstool yelp-tools,,libkdegames: KDE card sets pysolfc: PySol card sets pysolfc-cardsets: PySol card sets
68,aj-snapshot,0.9.8,2018-02-26T10:51:29.922Z,jack mxml,,,
69,akonadi,18.04.0,2018-04-21T13:54:37.293Z,hicolor-icon-theme kio kitemmodels mariadb,boost extra-cmake-modules kdesignerplugin postgresql qt5-tools,,postgresql: PostgreSQL backend
70,akonadi-calendar,18.04.0,2018-04-21T13:54:42.709Z,akonadi-contacts kcalutils kmailtransport,boost extra-cmake-modules,,
71,akonadi-calendar-tools,18.04.0,2018-04-21T13:54:46.377Z,calendarsupport kdelibs4support,boost extra-cmake-modules kdesignerplugin kdoctools,,
72,akonadiconsole,18.04.0,2018-04-21T13:54:47.755Z,calendarsupport messagelib,boost extra-cmake-modules kdoctools,,
73,akonadi-contacts,18.04.0,2018-04-21T13:54:44.186Z,akonadi kcontacts kmime prison,boost extra-cmake-modules,,
74,akonadi-import-wizard,18.04.0,2018-04-21T13:54:43.732Z,mailcommon,boost extra-cmake-modules kdoctools,,kdepim-addons: additional import plugins
75,akonadi-mime,18.04.0,2018-04-21T13:54:41.152Z,akonadi kmime,boost extra-cmake-modules kdoctools,,
76,akonadi-notes,18.04.0,2018-04-21T13:54:38.319Z,kmime,akonadi boost extra-cmake-modules,,
77,akonadi-search,18.04.0,2018-04-21T13:54:38.925Z,akonadi-mime kcalcore kcmutils kcontacts krunner xapian-core,boost extra-cmake-modules,,
78,akregator,18.04.0,2018-04-21T13:54:46.660Z,kde-syndication knotifyconfig kontactinterface ktexteditor messagelib,boost extra-cmake-modules kdoctools,,kdepim-addons: additional plugins
79,alacarte,3.11.91+12+g1bb265f,2016-06-08T14:50:43.986Z,gnome-menus gtk3 hicolor-icon-theme python2-gobject,docbook-xsl git gnome-common intltool libxslt,,
80,alembic,1.7.7,2018-03-28T10:10:14.246Z,boost-libs hdf5 openexr zlib,boost cmake,,
81,alex,3.2.4,2018-04-04T18:05:24.489Z,ghc-libs,ghc happy,,
82,algol68g,2.8.4,2017-12-21T21:27:40.682Z,gsl plotutils,,,postgresql-libs: for postgresql support
83,algol68g-doc,2.8.4,2017-12-21T21:27:40.729Z,gsl plotutils,,,postgresql-libs: for postgresql support
84,allegro,5.2.4,2018-03-24T13:58:41.507Z,dumb gtk2 jack libgl libpulse libtheora libxpm libxxf86dga opusfile physfs,cmake git glu libtheora mesa-libgl ninja opusfile,,
85,allegro4,4.4.2,2017-11-14T14:05:02.443Z,jack libxcursor libxpm libxxf86dga libxxf86vm,cmake glu libpng mesa ninja,,
86,alleyoop,0.9.8,2017-08-15T23:21:45.184Z,gconf gtk2 valgrind,gnome-common,,
87,alltray,0.7.5.1dev,2017-10-06T12:02:14.105Z,libgtop libwnck libxpm,,,
88,almanah,0.11.1,2018-03-24T22:45:12.501Z,evolution libcryptui,intltool python,,
89,alsa-firmware,1.0.29,2015-03-09T15:05:18.590Z,,,,
90,alsa-lib,1.1.6,2018-04-11T17:17:50.089Z,glibc,python2,,python2: for python smixer plugin
91,alsa-oss,1.1.6,2018-04-11T17:17:50.168Z,alsa-lib,,,
92,alsaplayer,0.99.81,2016-05-05T22:37:44.403Z,desktop-file-utils gcc-libs,audiofile doxygen gtk2 jack libid3tag libmad libmikmod libvorbis mesa,,"audiofile: for support of various audio formats like AIFF, WAVE, .snd/.au flac: for flac support gtk2: for the gtk2 GUI interface jack: for JACK audio server output support libgl: for the OpenGL visual plugins libid3tag: for flac support libmad: for MPEG support libmikmod: for mod, s3m, it and xm formats supports libsndfile: for sndfile support libvorbis: for ogg vorbis support"
93,alsa-plugins,1.1.6,2018-04-05T21:56:42.446Z,alsa-lib,ffmpeg jack libpulse,,"ffmpeg: libavcodec resampling plugin, a52 plugin jack: Jack plugin libpulse: PulseAudio plugin libsamplerate: libsamplerate resampling plugin speex: libspeexdsp resampling plugin"
94,alsa-tools,1.1.6,2018-04-19T09:58:25.802Z,alsa-lib gcc-libs,fltk gtk2 gtk3,,"bash: couple of tools fltk: hdspconf, hdspmixer gtk2: other GUI tools gtk3: hdajackretask"
95,alsa-utils,1.1.6,2018-04-11T17:17:50.138Z,alsa-lib>1.0.24 fftw libsamplerate ncurses pciutils psmisc,docbook-xsl systemd xmlto,,
96,alure,1.2,2017-07-12T07:56:24.152Z,openal,cmake dumb flac fluidsynth libsndfile libvorbis mpg123,,"dumb: for IT, XM, S3M and MOD support flac: for FLAC support fluidsynth: for SoundFont 2 support libsndfile: for uncompressed audio support libvorbis: for OGG Vorbis support mpg123: for MPEG support"
97,amarok,2.9.0,2018-03-07T07:30:52.526Z,ffmpeg kdebase-runtime liblastfm libofa mariadb qjson qtscriptgenerator taglib-extras,automoc4 cmake libgpod libmtp libmygpo-qt loudmouth qca-qt4,,gst-libav: MP3 codecs ifuse: support for Apple iPod Touch and iPhone libgpod: support for Apple iPod audio devices libmtp: support for portable media devices libmygpo-qt: gpodder.net Internet Service loudmouth: backend needed by mp3tunes for syncing qca-qt4: Ampache support
98,amavisd-milter,1.6.1,2017-06-05T16:28:24.235Z,amavisd-new,libmilter,,
99,amavisd-new,2.11.0,2017-11-26T16:28:49.305Z,bzip2 gzip perl>=5.8.2 perl-archive-zip>=1.14 perl-berkeleydb>=0.42 perl-convert-tnef perl-convert-uulib>=1.4-5 perl-io-socket-inet6 perl-io-stringy perl-mail-dkim>=0.31 perl-mailtools>=1.58 perl-mime-tools perl-net-libidn perl-net-server>=0.88 perl-unix-syslog>=1.1-4,,,arj: Decoder for: .arj .exe lrzip: Decoder for: .lrz lz4: Decoder for: .lz4 lzo: Decoder for: .lzo p7zip: Decoder for: .7z rpmextract: Decoder for: .rpm unrar: Decoder for: .rar
100,amb-plugins,0.8.1,2017-12-24T16:04:52.083Z,ladspa,,,
101,ams,2.1.2,2017-12-24T16:04:52.328Z,fftw jack ladspa liblo qt4 zita-alsa-pcmi,,,"amb-plugins: ambisonic plugins blop: bandlimited oscillator plugins caps: the C* audio plugins cmt: Computer Music Toolkit plugins fil-plugins: equaliser plugins g2reverb: greverb based plugins mcp-plugins: phaser, chorus and moog vcf plugins pvoc: phase-vocoding plugins rev-plugins: zita-rev1 based reverb plugins swh-plugins: Steve Harris plugins tap-plugins: toms audio plugins vco-plugins: oscillator plugins wah-plugins: wah audio plugins"
102,amsynth,1.8.0,2017-12-24T16:04:52.295Z,gtk2 jack liblo,dssi intltool ladspa pandoc,,
103,amule,10998,2018-04-11T07:14:14.779Z,boost-libs crypto++ gd geoip libupnp wxgtk2,boost ccache git,,
104,analitza,18.04.0,2018-04-21T13:54:38.711Z,qt5-declarative qt5-svg,eigen extra-cmake-modules kdoctools qt5-tools,,
105,android-file-transfer,3.3,2018-04-17T21:31:17.439Z,file fuse2 hicolor-icon-theme libxkbcommon-x11 qt5-base,cmake,,
106,android-tools,8.1.0_r7,2018-01-23T06:28:09.320Z,libusb pcre2,clang cmake git go-pie gtest ninja ruby,,python: for mkbootimg script
107,android-udev,20180112,2018-01-23T06:28:09.091Z,libmtp udev,,,
108,angband,4.1.2,2018-01-14T18:48:10.090Z,ncurses sdl_image sdl_mixer sdl_ttf,python-docutils,,
109,anjuta,3.28.0,2018-03-24T22:50:37.186Z,autogen dconf devhelp glade libanjuta libgda neon subversion vala vte3,autogen dconf devhelp gdl git gjs glade gnome-common gobject-introspection gtk-doc intltool itstool libgda neon python subversion vala vte3 yelp-tools,,
110,anjuta-extras,3.26.0+4+gb876d84,2017-11-19T14:50:13.401Z,anjuta,git gnome-common intltool itstool,,
111,anki,2.1.0beta37,2018-04-06T18:18:30.177Z,python-beautifulsoup4 python-decorator python-markdown python-pyaudio python-pyqt5 python-requests python-send2trash qt5-webengine,,,lame: record sound mplayer: play sound
112,ansible,2.5.2,2018-04-27T02:15:35.642Z,python2 python2-crypto python2-jinja python2-paramiko python2-yaml,asciidoc fakeroot python python2-setuptools python-setuptools,,acme-tiny: openssl_certificate module python2-boto3: aws_s3 module python2-dnspython: for dig lookup python2-jmespath: json_query support python2-netaddr: for the ipaddr filter python2-ovirt-engine-sdk: ovirt support python2-passlib: crypt values for vars_prompt python2-pyopenssl: openssl modules python2-pywinrm: connect to Windows machines python2-systemd: log to journal sshpass: for ssh connections with password
113,ansible-lint,3.4.21,2018-03-23T16:49:24.084Z,ansible python2,python2-distribute,python-nose,
114,anthy,9100h,2014-06-30T10:31:16.024Z,,,,
115,antiword,0.37,2016-02-08T01:10:12.764Z,bash,,,
116,antlr2,2.7.7,2017-07-11T12:09:59.785Z,java-runtime sh,java-environment python2 sh,,
117,antlr4,4.7.1,2018-01-16T20:28:45.276Z,java-environment>=6,,,
118,apache,2.4.33,2018-04-04T23:00:06.208Z,apr-util libnghttp2 openssl pcre zlib,brotli curl jansson libxml2 lua,,"brotli: for mod_brotli module curl: for mod_md module jansson: for mod_md module libxml2: for mod_proxy_html, mod_xml2enc modules lua: for mod_lua module lynx: apachectl status uwsgi: for mod_proxy_uwsgi module"
119,apache-ant,1.9.7,2016-04-24T15:37:24.485Z,java-environment,apache-ant java-environment junit,,junit: to use the junit tasks
120,apache-ant-doc,1.9.7,2016-04-24T15:37:21.947Z,,apache-ant java-environment junit,,
121,apache-ivy,2.4.0,2016-05-29T09:48:55.428Z,apache-ant bash,,,
122,apcupsd,3.14.14,2016-10-25T14:07:46.687Z,gcc-libs libusb-compat systemd-sysvcompat,gconf gd gtk2 pkgconfig,,gconf: for frontend gd: for CGI gtk2: for frontend
123,apitrace,7.1,2016-07-13T23:36:46.100Z,libgl procps-ng python2,cmake libgl mesa procps-ng python2 qt5-webkit,,qt5-webkit: GUI support
124,apm,1.19.0,2018-04-28T19:20:49.521Z,libsecret nodejs>=10 npm python2,git,,
125,apper,1.0.0,2018-02-21T08:37:06.921Z,appstream-qt kcmutils packagekit-qt5,extra-cmake-modules kdoctools plasma-workspace,,plasma-workspace: Updates daemon
126,appmenu-qt4,0.2.6,2017-02-28T09:04:22.132Z,libdbusmenu-qt4,cmake,,
127,appstream,0.12.0,2018-04-04T16:27:47.153Z,glib2 libstemmer libxml2 libyaml,gobject-introspection gtk-doc itstool meson python2 qt5-tools vala xmlto,,
128,appstream-generator,0.7.3,2018-04-26T19:20:51.550Z,appstream d-stdx-allocator libarchive librsvg lmdb optipng,curl d-containers dmd docbook-xsl gir-to-d gobject-introspection meson mustache-d ninja,,
129,appstream-glib,0.7.7,2018-04-19T21:37:25.729Z,gcab gtk3 libsoup libstemmer libyaml pacman,autoconf-archive git gobject-introspection gperf gtk-doc meson,,
130,appstream-qt,0.12.0,2018-04-04T16:27:47.216Z,appstream qt5-base,gobject-introspection gtk-doc itstool meson python2 qt5-tools vala xmlto,,
131,apr,1.6.3,2017-10-26T22:14:13.505Z,util-linux,python2,,
132,apricots,0.2.6,2015-12-10T05:58:21.686Z,freealut gcc-libs openal sdl,,,
133,apr-util,1.6.1,2018-01-24T09:57:27.514Z,apr expat,db gdbm libldap libmariadbclient nss openssl postgresql-libs python2 sqlite unixodbc,,db: enable berkley db support gdbm: enable gdbm support libldap: enable ldap support libmariadbclient: enable mysql/mariadb support nss: enable nss crypto support openssl: enable openssl crypto support postgresql-libs: enable postgres support sqlite: enable sqlite support unixodbc: enable odbc support
134,aqbanking,5.7.8,2018-02-14T18:25:11.989Z,gwenhywfar ktoblzcheck libofx,,,
135,arandr,0.1.9,2016-08-10T18:27:50.636Z,pygtk xorg-xrandr,python2-docutils,,
136,arb,2.13.0,2018-02-23T21:33:47.062Z,flint,,,
137,arc-gtk-theme,20180114,2018-01-14T14:37:46.380Z,,gtk3 sassc,,arc-icon-theme: recommended icon theme gnome-themes-standard: for gtk2 themes gtk-engine-murrine: for gtk2 themes
138,arch,1.3.5,2016-02-08T01:10:15.942Z,expat krb5 zlib,,,
139,arch-audit,0.1.10,2018-03-10T17:42:54.374Z,curl openssl,cargo pkg-config,,
140,archey3,0.5,2017-01-06T08:11:43.238Z,python,git python-distribute,,imagemagick: for default screenshot command python-logbook: alternative logging system
141,arch-firefox-search,0.8.2,2015-08-15T12:35:13.931Z,firefox,,,
142,arch-install-scripts,18,2018-01-27T12:28:32.316Z,bash coreutils pacman util-linux,,,
143,archiso,34,2018-04-26T14:17:58.142Z,arch-install-scripts dosfstools libisoburn lynx make squashfs-tools,,,
144,archivetools,2,2017-05-14T15:38:31.068Z,hardlink rsync systemd util-linux xz,git,,
145,archlinux-appstream-data,20180424,2018-04-24T21:15:31.009Z,,,,
146,archlinux-keyring,20180404,2018-04-06T06:08:59.211Z,,,,
147,archlinux-menus,2.5,2016-08-07T20:33:24.912Z,xdg-utils,,,
148,archlinux-themes-slim,1.2,2014-06-30T21:34:14.939Z,,,,slim: login manager providing theme support
149,archlinux-wallpaper,1.4,2015-01-24T10:12:39.896Z,,,,
150,archlinux-xdg-menu,0.7.6.3,2018-01-17T13:41:02.128Z,perl perl-xml-parser,,,sux: for xdg_menu_su
151,arch-wiki-docs,20180105,2018-01-05T18:25:29.532Z,,git python python-cssselect python-lxml python-simplemediawiki,,
152,arch-wiki-lite,20170410,2017-04-21T23:38:31.899Z,bash gzip,arch-wiki-docs python,,arch-wiki-docs: for wiki-search-html dialog: for interactive menu xdg-utils: for wiki-search-html
153,arc-icon-theme,20161122,2016-11-24T16:52:00.622Z,gtk-update-icon-cache hicolor-icon-theme,,,arc-gtk-theme: gtk theme of arc elementary-icon-theme: Secondary icon theme fallback
154,arc-kde,20180201,2018-02-01T14:42:09.041Z,,,,kvantum-theme-arc: Arc theme for Kvantum Qt style (recommended)
155,arc-solid-gtk-theme,20180114,2018-01-14T14:37:46.189Z,,gtk3 sassc,,arc-icon-theme: recommended icon theme gnome-themes-standard: for gtk2 themes gtk-engine-murrine: for gtk2 themes
156,arcus,3.2.1,2018-02-17T20:44:50.337Z,protobuf python python-sip,cmake,,
157,ardour,5.12,2018-02-20T15:15:15.380Z,aubio gtkmm libarchive liblo liblrdf lilv rubberband suil taglib,boost cppunit git itstool python2,,harvid: video timeline xjadeo: video monitoring
158,arduino,1.8.5,2017-10-02T17:12:43.964Z,arduino-builder desktop-file-utils gtk2 java-runtime=8 shared-mime-info,apache-ant java-environment=8 unzip,,arduino-avr-core: AVR core with upstream avr-gcc and avrdude arduino-docs: Offline documentation for arduino python2: Intel Galileo Board installation
159,arduino-avr-core,1.6.20,2017-08-23T13:30:52.126Z,avrdude avr-gcc avr-libc,,,
160,arduino-builder,1.3.25,2017-11-20T07:32:43.937Z,arduino-ctags,git go-pie unzip,,arduino-avr-core: AVR core with upstream avr-gcc and avrdude
161,arduino-ctags,5.8_arduino11,2017-05-28T17:48:44.968Z,glibc,,,
162,arduino-docs,1.6.6,2016-12-13T10:58:29.401Z,,,,
163,argon2,20171227,2018-01-08T20:26:54.989Z,glibc,,,
164,argyllcms,2.0.0,2018-03-23T13:48:24.979Z,libpng libtiff libxinerama libxrandr libxss libxxf86vm openssl zlib,ftjam unzip zip,,
165,aria2,1.33.1,2017-11-08T19:33:39.205Z,ca-certificates c-ares gnutls libssh2 libxml2 sqlite,,cppunit,
166,ario,1.6,2018-04-02T17:23:47.871Z,avahi curl dbus-glib gnutls gtk3 libmpdclient libnotify libsoup taglib xdg-utils,intltool patch perl-xml-parser,,
167,arj,3.10.22,2016-01-07T00:11:15.943Z,glibc,,,
168,ark,18.04.0,2018-04-21T13:54:39.988Z,hicolor-icon-theme kitemmodels kparts kpty libarchive libzip,extra-cmake-modules kdoctools,,p7zip: 7Z format support unarchiver: RAR format support unrar: RAR decompression support
169,arm,1.4.5.0,2017-04-08T15:18:01.106Z,python2,,,
170,armagetronad,0.2.8.3.4,2017-04-05T02:33:31.105Z,ftgl libxml2 sdl_image sdl_mixer,,,python2: language updater
171,arm-none-eabi-binutils,2.30,2018-01-29T17:33:19.264Z,zlib,,,
172,arm-none-eabi-gcc,7.3.0,2018-01-26T23:55:29.845Z,arm-none-eabi-binutils libmpc zlib,arm-none-eabi-newlib gmp mpfr,,arm-none-eabi-newlib: Standard C library optimized for embedded systems
173,arm-none-eabi-gdb,8.1,2018-03-25T10:11:24.819Z,expat gdb-common guile2.0 mpfr ncurses python xz,,,stlink: for debugging over STLINK
174,arm-none-eabi-newlib,3.0.0,2018-02-19T01:18:49.960Z,,arm-none-eabi-gcc,,
175,arpack,3.5.0,2018-04-05T11:42:06.035Z,lapack openmpi,gcc-fortran git,,
176,arp-scan,1.9,2016-08-09T22:23:32.783Z,libpcap perl-libwww,,,
177,arptables,0.0.4,2017-08-13T16:50:36.657Z,bash glibc perl,,,
178,arpwatch,2.1a15,2014-06-06T17:31:29.487Z,libpcap smtp-forwarder,,,
179,arrayfire,3.5.1,2017-12-16T02:08:06.306Z,boost-libs cblas fftw forge freeimage glew glfw lapacke,boost cmake cuda doxygen gcc6 git glew glfw graphviz nvidia-utils ocl-icd opencl-headers python,,cuda: Required for using CUDA backend libclc: Required for using OpenCL backend nvidia-utils: Required for using CUDA backend
180,artikulate,18.04.0,2018-04-21T13:54:41.867Z,hicolor-icon-theme kdeclarative knewstuff,boost extra-cmake-modules kdoctools,,
181,artwiz-fonts,1.3,2017-05-20T21:16:10.619Z,fontconfig xorg-fonts-encodings xorg-font-utils,,,
182,artyfx,1.3,2018-04-05T19:34:17.613Z,cairo libsndfile,cmake lv2,,
183,asar,0.14.3,2018-03-08T11:18:47.320Z,nodejs,npm,,
184,ascii,3.18,2017-08-02T18:32:12.898Z,glibc,,,
185,asciidoc,8.6.10,2017-12-09T18:55:41.191Z,docbook-xsl libxslt python2,,,dblatex: pdf generation fop: alternative pdf generation imagemagick: music-filter (used in conjunction with lilypond) lilypond: music-filter lynx: text generation source-highlight: source-highlight-filter w3m: text generation (alternative to lynx)
186,asciidoctor,1.5.6.2,2018-03-21T19:44:00.794Z,ruby,ruby-rdoc,,
187,asciinema,2.0.1,2018-04-05T10:15:02.950Z,python,git python-setuptools,,
188,asciiportal,1.3,2018-02-04T08:56:23.692Z,pdcurses sdl sdl_mixer yaml-cpp,boost gendesk git imagemagick,,
189,asciiquarium,1.1,2015-07-20T22:24:37.353Z,perl perl-term-animation,,,
190,asio,1.12.0,2018-03-20T20:27:47.858Z,,boost,,
191,asp,2,2017-08-20T23:55:43.944Z,awk bash git jq libarchive,asciidoc,,
192,aspcud,1.9.4,2018-01-02T10:09:13.305Z,clingo,boost cmake git ninja re2c,,
193,aspell,0.60.6.1,2016-04-27T14:40:37.581Z,gcc-libs ncurses,,,perl: to import old dictionaries
194,aspell-ca,2.3.0,2014-07-05T06:54:50.856Z,aspell,,,
195,aspell-cs,20040614,2014-07-05T17:39:26.106Z,aspell,,,
196,aspell-de,20161207,2016-12-11T09:34:54.701Z,aspell,,,
197,aspell-el,0.08,2015-05-25T21:09:21.413Z,aspell,,,
198,aspell-en,2017.08.24,2018-01-06T08:37:12.090Z,aspell,,,
199,aspell-es,1.11,2014-06-30T14:37:15.953Z,aspell,,,
200,aspell-fr,0.50.3,2014-07-01T00:40:35.856Z,aspell,,,
201,aspell-hu,0.99.4.2,2015-01-24T10:12:46.354Z,aspell,,,
202,aspell-it,2.2_20050523,2014-08-11T12:05:32.095Z,aspell,,,
203,aspell-nl,0.50.2,2014-07-03T04:40:12.047Z,aspell,,,
204,aspell-pl,20171220,2017-12-20T19:02:42.387Z,aspell,,,
205,aspell-pt,20161001,2016-10-25T06:28:38.764Z,aspell,,,
206,aspell-ru,0.99f7,2015-01-19T17:38:18.905Z,aspell,,,
